hour,mag,cnt1,cnt2,probability
0,0,764,8577,0.08907543430103765886
0,1,3602,8577,0.41996035909991838638
0,2,2279,8577,0.26571062142940422059
0,3,861,8577,0.10038474991255683806
0,4,619,8577,0.07216975632505538067
0,5,416,8577,0.04850180715868019121
0,6,27,8577,0.00314795383001049318
0,7,9,8577,0.00104931794333683106
1,0,804,9000,0.08933333333333333333
1,1,3781,9000,0.42011111111111111111
1,2,2429,9000,0.26988888888888888889
1,3,934,9000,0.10377777777777777778
1,4,628,9000,0.06977777777777777778
1,5,397,9000,0.04411111111111111111
1,6,25,9000,0.00277777777777777778
1,7,1,9000,0.00011111111111111111
1,8,1,9000,0.00011111111111111111
5,0,1080,9720,0.11111111111111111111
5,1,4130,9720,0.42489711934156378601
5,2,2648,9720,0.27242798353909465021
5,3,1002,9720,0.10308641975308641975
5,4,489,9720,0.05030864197530864198
5,5,355,9720,0.03652263374485596708
5,6,14,9720,0.00144032921810699588
5,7,1,9720,0.00010288065843621399
5,8,1,9720,0.00010288065843621399
8,0,1082,9780,0.11063394683026584867
8,1,4209,9780,0.43036809815950920245
8,2,2552,9780,0.26094069529652351738
8,3,1014,9780,0.10368098159509202454
8,4,501,9780,0.05122699386503067485
8,5,395,9780,0.04038854805725971370
8,6,27,9780,0.00276073619631901840
9,0,1079,9794,0.11016949152542372881
9,1,4378,9794,0.44700837247294261793
9,2,2468,9794,0.25199101490708597100
9,3,978,9794,0.09985705534000408413
9,4,521,9794,0.05319583418419440474
9,5,343,9794,0.03502144169899938738
9,6,25,9794,0.00255258321421278334
9,7,2,9794,0.00020420665713702267
10,0,1155,9688,0.11921965317919075145
10,1,4271,9688,0.44085466556564822461
10,2,2440,9688,0.25185796862097440132
10,3,884,9688,0.09124690338563170933
10,4,525,9688,0.05419075144508670520
10,5,384,9688,0.03963666391412056152
10,6,25,9688,0.00258051197357555739
10,7,3,9688,0.00030966143682906689
10,8,1,9688,0.00010322047894302230
11,0,1181,9870,0.11965552178318135765
11,1,4299,9870,0.43556231003039513678
11,2,2515,9870,0.25481256332320162107
11,3,904,9870,0.09159067882472137791
11,4,527,9870,0.05339412360688956434
11,5,421,9870,0.04265450861195542047
11,6,21,9870,0.00212765957446808511
11,7,2,9870,0.00020263424518743668
12,0,1136,9639,0.11785454922709824671
12,1,4331,9639,0.44932046892831206557
12,2,2376,9639,0.24649859943977591036
12,3,852,9639,0.08839091192032368503
12,4,527,9639,0.05467372134038800705
12,5,390,9639,0.04046062869592281357
12,6,26,9639,0.00269737524639485424
12,7,1,9639,0.00010374520178441747
18,0,928,8908,0.10417602155365963179
18,1,3776,8908,0.42388863942523574315
18,2,2306,8908,0.25886843286933093848
18,3,835,8908,0.09373596766951055231
18,4,621,8908,0.06971261787157611136
18,5,415,8908,0.04658733722496632241
18,6,24,8908,0.00269420745397395599
18,7,2,8908,0.00022451728783116300
18,8,1,8908,0.00011225864391558150
21,0,792,8887,0.08911893777427703387
21,1,3851,8887,0.43332958253628896140
21,2,2326,8887,0.26173061775627320806
21,3,872,8887,0.09812085068076966355
21,4,572,8887,0.06436367728142230224
21,5,449,8887,0.05052323618768988410
21,6,25,8887,0.00281309778327894678
2,0,896,9096,0.09850483729111697449
2,1,3841,9096,0.42227352682497801231
2,2,2411,9096,0.26506156552330694811
2,3,973,9096,0.10697009674582233949
2,4,543,9096,0.05969656992084432718
2,5,393,9096,0.04320580474934036939
2,6,38,9096,0.00417766051011433597
2,8,1,9096,0.00010993843447669305
4,0,1018,9388,0.10843630166169578185
4,1,4058,9388,0.43225394120153387303
4,2,2432,9388,0.25905411163187047294
4,3,959,9388,0.10215168299957392416
4,4,491,9388,0.05230080954409884960
4,5,407,9388,0.04335321687260332339
4,6,22,9388,0.00234341712824882829
4,7,1,9388,0.00010651896037494674
22,0,813,8902,0.09132779150752639856
22,1,3825,8902,0.42967872388227364637
22,2,2248,8902,0.25252752190518984498
22,3,929,8902,0.10435857110761626601
22,4,627,8902,0.07043361042462368007
22,5,435,8902,0.04886542350033700292
22,6,22,8902,0.00247135475174118176
22,7,3,8902,0.00033700292069197933
7,0,1050,9470,0.11087645195353748680
7,1,4221,9470,0.44572333685322069694
7,2,2421,9470,0.25564941921858500528
7,3,923,9470,0.09746568109820485744
7,4,479,9470,0.05058078141499472017
7,5,342,9470,0.03611404435058078141
7,6,33,9470,0.00348468848996832101
7,7,1,9470,0.00010559662090813094
13,0,1217,9663,0.12594432370899306634
13,1,4239,9663,0.43868363862154610369
13,2,2390,9663,0.24733519610886888130
13,3,844,9663,0.08734347511124909448
13,4,576,9663,0.05960881713753492704
13,5,375,9663,0.03880782365724930146
13,6,21,9663,0.00217323812480596088
13,7,1,9663,0.00010348752975266480
14,0,1077,9610,0.11207075962539021852
14,1,4145,9610,0.43132154006243496358
14,2,2433,9610,0.25317377731529656608
14,3,927,9610,0.09646201873048907388
14,4,590,9610,0.06139438085327783559
14,5,407,9610,0.04235171696149843913
14,6,30,9610,0.00312174817898022893
14,7,1,9610,0.00010405827263267430
15,0,1016,9383,0.10828093360332516253
15,1,4082,9383,0.43504209741020995417
15,2,2447,9383,0.26079079185761483534
15,3,800,9383,0.08526057764041351380
15,4,542,9383,0.05776404135138015560
15,5,470,9383,0.05009058936374293936
15,6,20,9383,0.00213151444101033785
15,7,6,9383,0.00063945433230310135
19,0,875,9176,0.09535745422842197036
19,1,4036,9176,0.43984306887532693984
19,2,2330,9176,0.25392327811682650392
19,3,817,9176,0.08903661726242371404
19,4,603,9176,0.06571490845684394071
19,5,486,9176,0.05296425457715780296
19,6,26,9176,0.00283347863993025283
19,7,3,9176,0.00032693984306887533
3,0,870,9295,0.09359870898332436794
3,1,4000,9295,0.43033889187735341581
3,2,2559,9295,0.27530930607853684777
3,3,957,9295,0.10295857988165680473
3,4,505,9295,0.05433028509951586875
3,5,375,9295,0.04034427111350188273
3,6,26,9295,0.00279720279720279720
3,7,2,9295,0.00021516944593867671
3,8,1,9295,0.00010758472296933835
6,0,1009,9479,0.10644582761894714632
6,1,4159,9479,0.43875936280198333158
6,2,2546,9479,0.26859373351619369132
6,3,880,9479,0.09283679713049899778
6,4,470,9479,0.04958328937651651018
6,5,400,9479,0.04219854415022681717
6,6,13,9479,0.00137145268488237156
6,7,1,9479,0.00010549636037556704
6,8,1,9479,0.00010549636037556704
16,0,948,9310,0.10182599355531686359
16,1,3994,9310,0.42900107411385606874
16,2,2346,9310,0.25198711063372717508
16,3,919,9310,0.09871106337271750806
16,4,600,9310,0.06444683136412459721
16,5,475,9310,0.05102040816326530612
16,6,25,9310,0.00268528464017185822
16,7,3,9310,0.00032223415682062299
17,0,945,9207,0.10263929618768328446
17,1,3912,9207,0.42489410231345715217
17,2,2369,9207,0.25730422504616053003
17,3,887,9207,0.09633974150103182361
17,4,604,9207,0.06560225915064624742
17,5,462,9207,0.05017921146953405018
17,6,25,9207,0.00271532529597045726
17,7,3,9207,0.00032583903551645487
20,0,810,8664,0.09349030470914127424
20,1,3737,8664,0.43132502308402585411
20,2,2203,8664,0.25427054478301015697
20,3,812,8664,0.09372114496768236380
20,4,602,8664,0.06948291782086795937
20,5,468,8664,0.05401662049861495845
20,6,30,8664,0.00346260387811634349
20,7,2,8664,0.00023084025854108957
23,0,761,8577,0.08872566165325871517
23,1,3645,8577,0.42497376705141657922
23,2,2253,8577,0.26267925848198670864
23,3,850,8577,0.09910225020403404454
23,4,610,8577,0.07112043838171854961
23,5,423,8577,0.04931794333683105981
23,6,30,8577,0.00349772647778943687
23,7,5,8577,0.00058295441296490614
